[2023-12-12 22:39:02,536] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,548] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,559] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,572] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,582] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,593] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,604] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 5 with partition epoch 0, high watermark 5, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,605] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,616] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,627] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,638] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,649] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,660] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,716] INFO [Broker id=0] Finished LeaderAndIsr request in 646ms correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2023-12-12 22:39:02,723] INFO [Broker id=0] Add 51 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 27 with correlation id 2 (state.change.logger)
